날짜,종가,오픈,고가,저가,변동 %
2021년 01월 20일,52.89,53.12,53.74,52.76,-0.43%
2021년 01월 21일,52.95,52.88,53.33,52.69,0.11%
2021년 01월 22일,51.92,52.95,52.98,51.38,-1.95%
2021년 01월 24일,52.23,52.02,52.28,52.01,0.60%
2021년 01월 25일,52.8,52.22,52.88,51.77,1.09%
2021년 01월 26일,52.72,52.78,53.17,52.24,-0.15%
2021년 01월 27일,52.36,52.73,53.23,51.8,-0.68%
2021년 01월 28일,52.17,52.37,53.49,52.03,-0.36%
2021년 01월 29일,52.1,52.19,53.2,51.89,-0.13%
2021년 01월 31일,51.92,52.03,52.09,51.61,-0.35%
2021년 02월 01일,53.55,51.91,53.67,51.84,3.14%
2021년 02월 02일,54.91,53.53,55.2,53.42,2.54%
2021년 02월 03일,55.86,54.92,56.25,54.77,1.73%
2021년 02월 04일,56.49,55.84,56.55,55.26,1.13%
2021년 02월 05일,57.04,56.48,57.23,56.45,0.97%
2021년 02월 07일,57.36,57.03,57.36,56.98,0.56%
2021년 02월 08일,58.02,57.35,58.1,57.28,1.15%
2021년 02월 09일,58.37,58.02,58.59,57.24,0.60%
2021년 02월 10일,58.3,58.36,58.87,58.05,-0.12%
2021년 02월 11일,57.94,58.3,58.66,57.82,-0.62%
2021년 02월 12일,59.68,57.91,59.79,57.38,3.00%
2021년 02월 14일,60.34,59.99,60.73,59.99,1.11%
2021년 02월 15일,60.08,60.33,60.92,59.95,-0.43%
2021년 02월 16일,59.97,60.09,60.3,59.33,-0.18%
2021년 02월 17일,61.77,59.98,61.77,59.42,3.00%
2021년 02월 18일,59.7,61.77,62.24,59.63,-3.35%
2021년 02월 19일,59.02,59.71,60.28,58.59,-1.14%
2021년 02월 21일,59.59,58.88,59.66,58.81,0.97%
2021년 02월 22일,61.56,59.61,62.16,59.38,3.31%
2021년 02월 23일,61.2,61.59,62.95,60.63,-0.58%
2021년 02월 24일,63.52,61.2,63.62,60.94,3.79%
2021년 02월 25일,63.39,63.51,63.75,62.62,-0.20%
2021년 02월 26일,61.56,63.41,63.42,61.31,-2.89%
2021년 02월 28일,62.45,61.84,62.48,61.84,1.45%
2021년 03월 01일,60.23,62.47,62.88,59.97,-3.55%
2021년 03월 02일,59.39,60.23,61.17,59.22,-1.39%
2021년 03월 03일,60.7,59.38,61.96,59.33,2.21%
2021년 03월 04일,64.19,60.73,64.81,60.52,5.75%
2021년 03월 05일,66.23,64.19,66.37,63.8,3.18%
2021년 03월 07일,67.12,66.72,67.8,66.72,1.34%
2021년 03월 08일,64.86,67.11,67.94,64.56,-3.37%
2021년 03월 09일,63.92,64.86,65.95,63.64,-1.45%
2021년 03월 10일,64.64,63.94,64.92,63.12,1.13%
2021년 03월 11일,65.89,64.67,66.17,64.53,1.93%
2021년 03월 12일,65.54,65.89,66.2,65.39,-0.53%
2021년 03월 14일,65.94,65.78,66.14,65.69,0.61%
2021년 03월 15일,65.3,65.94,66.39,64.14,-0.97%
2021년 03월 16일,64.88,65.28,65.41,63.8,-0.64%
2021년 03월 17일,64.58,64.88,65.33,63.59,-0.46%
2021년 03월 18일,59.76,64.53,64.81,58.32,-7.46%
2021년 03월 19일,61.46,59.74,61.76,58.92,2.84%
2021년 03월 21일,60.88,60.98,61.2,60.84,-0.94%
2021년 03월 22일,61.27,60.87,61.99,60.33,0.64%
2021년 03월 23일,57.53,61.27,61.27,57.23,-6.10%
2021년 03월 24일,60.59,57.55,61.3,57.41,5.32%
2021년 03월 25일,58.74,60.56,60.8,57.43,-3.05%
2021년 03월 26일,60.71,58.73,61.33,58.67,3.35%
2021년 03월 28일,60.72,60.82,60.83,60.38,0.02%
2021년 03월 29일,62.09,60.77,62.22,59.39,2.26%
2021년 03월 30일,60.38,62.08,62.08,59.95,-2.75%
2021년 03월 31일,59.55,60.38,61.14,58.83,-1.37%
2021년 04월 01일,61.25,59.55,61.71,58.87,2.85%
2021년 04월 04일,61.26,61.38,61.38,60.89,0.02%
2021년 04월 05일,58.89,61.27,61.36,57.62,-3.87%
2021년 04월 06일,59.17,58.86,60.87,58.61,0.48%
2021년 04월 07일,59.62,59.18,60.02,58.11,0.76%
2021년 04월 08일,59.73,59.61,59.91,58.82,0.18%
2021년 04월 09일,59.32,59.73,59.91,59.11,-0.69%
2021년 04월 11일,59.55,59.31,59.58,59.31,0.39%
2021년 04월 12일,59.76,59.55,60.74,58.73,0.35%
2021년 04월 13일,60.52,59.74,60.63,59.64,1.27%
2021년 04월 14일,62.88,60.51,63.43,60.38,3.90%
2021년 04월 15일,63.34,62.87,63.56,62.53,0.73%
2021년 04월 16일,63.07,63.34,63.87,62.84,-0.43%
2021년 04월 18일,62.8,63.05,63.11,62.78,-0.43%
2021년 04월 19일,63.55,62.8,63.62,62.62,1.19%
2021년 04월 20일,62.28,63.53,64.3,61.47,-2.00%
2021년 04월 21일,61.08,62.3,62.49,60.81,-1.93%
2021년 04월 22일,61.8,61.06,62.05,60.56,1.18%
2021년 04월 23일,61.98,61.77,62.37,61.2,0.29%
2021년 04월 25일,61.88,62.08,62.2,61.87,-0.16%
2021년 04월 26일,62.02,61.89,62.26,60.62,0.23%
2021년 04월 27일,62.95,61.99,63.24,61.88,1.50%
2021년 04월 28일,63.77,62.98,64.47,62.62,1.30%
2021년 04월 29일,64.75,63.78,65.4,63.73,1.54%
2021년 04월 30일,63.44,64.72,64.81,63.05,-2.02%
2021년 05월 02일,63.7,63.53,63.73,63.51,0.41%
2021년 05월 03일,64.61,63.7,64.69,62.89,1.43%
2021년 05월 04일,66.2,64.58,66.25,64.25,2.46%
2021년 05월 05일,65.09,66.22,66.71,64.89,-1.68%
