날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 01월 31일,"280,000","280,000","280,000","280,000",-,0.00%
2021년 02월 01일,"316,000","287,500","316,000","280,000",0.08K,12.86%
2021년 02월 02일,"317,500","323,000","326,000","309,000",0.90K,0.47%
2021년 02월 03일,"316,000","320,000","327,000","314,500",0.47K,-0.47%
2021년 02월 04일,"317,000","318,500","324,000","313,500",0.03K,0.32%
2021년 02월 05일,"304,000","320,000","321,500","289,500",2.72M,-4.10%
2021년 02월 07일,"304,000","304,000","304,000","304,000",-,0.00%
2021년 02월 08일,"281,500","293,000","295,500","279,000",3.00K,-7.40%
2021년 02월 09일,"288,000","285,000","298,000","285,000",0.01K,2.31%
2021년 02월 10일,"296,500","291,000","301,000","285,500",1.58M,2.95%
2021년 02월 14일,"296,500","296,500","296,500","296,500",-,0.00%
2021년 02월 15일,"284,000","275,500","289,500","268,000",0.52K,-4.22%
2021년 02월 16일,"284,500","286,000","289,000","278,500",0.71K,0.18%
2021년 02월 17일,"297,000","283,500","297,000","280,000",0.25K,4.39%
2021년 02월 18일,"296,000","298,500","303,000","293,500",2.26K,-0.34%
2021년 02월 19일,"296,000","296,000","299,000","284,500",984.11K,0.00%
2021년 02월 21일,"296,000","296,000","296,000","296,000",-,0.00%
2021년 02월 22일,"284,000","295,000","295,500","283,000",0.50K,-4.05%
2021년 02월 23일,"284,500","277,500","288,500","274,500",0.06K,0.18%
2021년 02월 24일,"266,500","285,000","286,500","265,500",0.12K,-6.33%
2021년 02월 25일,"270,000","277,500","278,500","267,000",0.28K,1.31%
2021년 02월 26일,"260,500","259,500","268,000","255,500",1.20M,-3.52%
2021년 03월 01일,"260,500","260,500","260,500","260,500",-,0.00%
2021년 03월 02일,"265,000","268,500","276,500","262,000",0.21K,1.73%
2021년 03월 03일,"266,000","262,500","266,000","258,500",0.10K,0.38%
2021년 03월 04일,"264,000","263,000","271,500","260,500",1.24K,-0.75%
2021년 03월 05일,"252,000","259,000","265,500","247,500",1.32M,-4.55%
2021년 03월 07일,"252,000","252,000","252,000","252,000",-,0.00%
2021년 03월 08일,"239,500","252,000","253,000","239,000",0.05K,-4.96%
2021년 03월 09일,"230,000","236,000","237,500","225,000",0.05K,-3.97%
2021년 03월 10일,"226,000","240,000","240,000","225,000",0.13K,-1.74%
2021년 03월 11일,"241,500","226,500","244,000","225,000",0.03K,6.86%
2021년 03월 12일,"242,500","245,500","247,500","237,000",883.98K,0.41%
2021년 03월 14일,"242,500","242,500","242,500","242,500",-,0.00%
2021년 03월 15일,"228,500","238,000","238,500","228,500",1.03K,-5.77%
2021년 03월 16일,"215,500","217,500","222,500","211,000",1.22K,-5.69%
2021년 03월 17일,"216,000","214,000","218,500","211,000",0.45K,0.23%
2021년 03월 18일,"214,500","220,500","222,500","214,500",0.31K,-0.69%
2021년 03월 19일,"211,500","208,500","215,500","205,500",1.11M,-1.40%
2021년 03월 21일,"211,500","211,500","211,500","211,500",-,0.00%
