날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 06월 23일,"4,241.84","4,249.27","4,256.60","4,241.43",-,-0.11%
2021년 06월 24일,"4,266.49","4,256.97","4,271.28","4,256.97",-,0.58%
2021년 06월 25일,"4,280.70","4,274.45","4,286.12","4,271.16",-,0.33%
2021년 06월 28일,"4,290.61","4,284.90","4,292.14","4,274.67",-,0.23%
2021년 06월 29일,"4,291.80","4,293.21","4,300.52","4,287.04",-,0.03%
2021년 06월 30일,"4,297.50","4,290.65","4,302.43","4,287.96",-,0.13%
2021년 07월 01일,"4,319.94","4,300.73","4,320.66","4,300.73",-,0.52%
2021년 07월 02일,"4,352.34","4,326.60","4,355.43","4,326.60",-,0.75%
2021년 07월 06일,"4,343.54","4,356.46","4,356.46","4,314.37",-,-0.20%
2021년 07월 07일,"4,358.13","4,351.01","4,361.88","4,329.79",-,0.34%
2021년 07월 08일,"4,320.82","4,321.07","4,330.88","4,289.37",-,-0.86%
2021년 07월 09일,"4,369.55","4,329.38","4,371.60","4,329.38",-,1.13%
2021년 07월 12일,"4,384.63","4,372.41","4,386.68","4,364.03",-,0.35%
2021년 07월 13일,"4,369.21","4,381.07","4,392.37","4,366.92",-,-0.35%
2021년 07월 14일,"4,374.30","4,380.11","4,393.68","4,362.36",-,0.12%
2021년 07월 15일,"4,360.03","4,369.02","4,369.02","4,340.70",-,-0.33%
2021년 07월 16일,"4,327.16","4,367.43","4,375.09","4,322.53",-,-0.75%
2021년 07월 19일,"4,258.63","4,296.40","4,296.40","4,233.13",-,-1.58%
2021년 07월 20일,"4,323.21","4,265.11","4,336.84","4,262.05",-,1.52%
2021년 07월 21일,"4,358.69","4,331.13","4,359.70","4,331.13",-,0.82%
2021년 07월 22일,"4,367.48","4,361.27","4,369.31","4,350.06",-,0.20%
2021년 07월 23일,"4,411.80","4,381.20","4,415.18","4,381.20",-,1.01%
2021년 07월 26일,"4,422.23","4,409.58","4,422.73","4,405.45",-,0.24%
2021년 07월 27일,"4,401.46","4,416.38","4,416.38","4,372.51",-,-0.47%
2021년 07월 28일,"4,400.65","4,402.95","4,415.47","4,387.01",-,-0.02%
2021년 07월 29일,"4,419.15","4,403.59","4,429.97","4,403.59",-,0.42%
2021년 07월 30일,"4,395.26","4,395.12","4,412.25","4,389.65",-,-0.54%
